代码,名称,涨跌幅,最新价,换手率,成交额(百万),流通市值(百万),总市值(百万),封板资金(百万),首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
300564,筑博设计,20.023,20.86,1.759,41.541,2361.255,3365.035,208.179,9:25,9:25,0,2/2,2,工程咨询
301151,冠龙节能,20.0,25.56,23.841,339.133,1424.636,4319.745,96.772,9:25,9:30,1,2/2,2,通用设备
301161,唯万密封,20.007,35.51,17.365,326.525,1893.677,4261.2,162.406,9:30,9:30,0,2/2,2,塑料制品
301038,深水规院,19.979,23.18,14.595,741.463,5170.994,5170.994,73.182,9:31,9:59,2,2/2,2,工程建设
300865,大宏立,20.005,43.85,15.313,442.605,2970.752,4195.568,80.108,9:34,9:34,0,2/2,2,专用设备
300095,华伍股份,19.981,12.73,27.966,1095.797,4064.113,5347.748,71.284,9:36,9:46,2,1/1,1,通用设备
300215,电科院,19.932,7.04,13.313,496.87,3957.717,5273.623,107.861,10:52,10:52,0,1/1,1,专业服务
300411,金盾股份,20.0,16.08,37.042,1719.019,4926.916,6536.842,95.653,11:13,11:13,0,1/1,1,专用设备
300021,大禹节水,19.959,5.83,26.106,1060.989,4355.531,5227.864,108.655,13:01,13:01,0,1/1,1,农牧饲渔
300617,安靠智电,20.011,44.08,23.753,1352.134,6197.279,7377.236,19.765,14:31,14:31,0,2/2,2,电网设备
