日期,开盘,最高,最低,收盘,成交量,成交额,股票代码
2024-06-17,9.4,9.44,9.1,9.3,320396.0,297636896.0,300251
2024-06-18,9.3,9.36,8.97,8.98,383615.0,349768608.0,300251
2024-06-19,9.06,9.06,8.85,8.95,248722.0,222722608.0,300251
2024-06-20,8.9,9.01,8.78,8.81,231810.0,205680464.0,300251
2024-06-21,8.79,8.9,8.73,8.82,191041.0,168464080.0,300251
2024-06-24,8.75,8.76,8.54,8.55,272725.0,235559776.0,300251
2024-06-25,8.55,8.62,8.28,8.41,271614.0,229564880.0,300251
2024-06-26,8.4,8.82,8.35,8.8,269505.0,231318384.0,300251
2024-06-27,8.72,8.82,8.58,8.62,282811.0,245283952.0,300251
2024-06-28,8.57,8.74,8.38,8.41,326783.0,279161024.0,300251
2024-07-01,8.37,8.48,8.28,8.44,197545.0,165504112.0,300251
2024-07-02,8.4,8.43,7.88,7.95,587042.0,469982528.0,300251
2024-07-03,7.91,8.12,7.83,7.94,296612.0,236326816.0,300251
2024-07-04,7.93,8.03,7.71,7.73,293105.0,228230352.0,300251
2024-07-05,7.74,7.95,7.72,7.91,219430.0,171467104.0,300251
2024-07-08,7.85,7.91,7.65,7.69,221784.0,171971936.0,300251
2024-07-09,7.67,7.76,7.48,7.69,314674.0,240273360.0,300251
2024-07-10,7.61,7.71,7.46,7.6,252174.0,191955088.0,300251
2024-07-11,7.7,7.8,7.62,7.68,280305.0,215984448.0,300251
2024-07-12,7.71,7.75,7.6,7.62,220847.0,169305328.0,300251
2024-07-15,7.6,7.76,7.59,7.69,281503.0,216385424.0,300251
2024-07-16,7.63,7.66,7.52,7.61,227544.0,172549376.0,300251
2024-07-17,7.59,7.69,7.57,7.61,225945.0,172457376.0,300251
2024-07-18,7.58,7.64,7.48,7.63,220970.0,167045168.0,300251
2024-07-19,7.67,7.8,7.63,7.72,328691.0,253738400.0,300251
2024-07-22,7.86,7.94,7.48,7.52,460378.0,350444480.0,300251
2024-07-23,7.53,7.53,7.35,7.35,352138.0,260553312.0,300251
