date,Open,Close,High,Low,Volume,amount,code,MA5,MA10,MA20,MA60
2025-05-16,38.88,40.09,42.3,38.65,33014.0,134034128.0,301502.SZ,,,,
2025-05-19,39.71,38.86,40.01,38.12,21014.0,81176072.0,301502.SZ,,,,
2025-05-20,38.71,41.24,44.7,38.38,31872.0,131070560.0,301502.SZ,,,,
2025-05-21,40.9,40.5,41.38,40.02,19727.0,80150864.0,301502.SZ,,,,
2025-05-22,39.88,39.1,40.3,39.04,12764.0,50514964.0,301502.SZ,39.958000000000006,,,
2025-05-23,39.21,40.26,42.49,38.8,27635.0,112594968.0,301502.SZ,39.992000000000004,,,
2025-05-26,41.2,40.61,41.53,40.0,15532.0,63163688.0,301502.SZ,40.342,,,
2025-05-27,40.5,41.03,41.69,40.21,15306.0,62687304.0,301502.SZ,40.3,,,
2025-05-28,40.99,40.58,41.44,40.12,13447.0,54686764.0,301502.SZ,40.316,,,
2025-05-29,40.3,40.63,41.25,40.3,11375.0,46383912.0,301502.SZ,40.622,40.29,,
2025-05-30,40.63,39.85,40.63,39.6,9874.0,39396992.0,301502.SZ,40.54,40.266,,
2025-06-03,39.81,39.5,40.15,39.06,9788.0,38728988.0,301502.SZ,40.318,40.33,,
2025-06-04,39.66,39.36,39.9,39.24,7605.0,30048518.0,301502.SZ,39.984,40.142,,
2025-06-05,39.48,39.25,39.54,38.88,8047.0,31514616.0,301502.SZ,39.718,40.017,,
2025-06-06,39.32,39.27,39.58,38.81,6447.0,25173616.0,301502.SZ,39.446000000000005,40.034,,
2025-06-09,39.3,39.46,39.77,39.13,7066.0,27870532.0,301502.SZ,39.368,39.954,,
2025-06-10,39.47,39.99,41.2,38.97,16673.0,66407552.0,301502.SZ,39.466,39.891999999999996,,
2025-06-11,39.84,39.95,40.24,39.65,9444.0,37756200.0,301502.SZ,39.584,39.784000000000006,,
2025-06-12,39.72,39.94,40.2,39.62,7340.0,29298648.0,301502.SZ,39.722,39.720000000000006,,
2025-06-13,39.79,38.39,39.79,38.36,10004.0,38884432.0,301502.SZ,39.54600000000001,39.496,39.893,
2025-06-16,38.39,39.72,40.42,38.19,14343.0,56937328.0,301502.SZ,39.598,39.483000000000004,39.8745,
2025-06-17,39.82,39.28,40.29,39.05,6270.0,24740592.0,301502.SZ,39.456,39.461,39.8955,
2025-06-18,38.91,39.07,39.27,38.61,4476.0,17454852.0,301502.SZ,39.279999999999994,39.432,39.787,
2025-06-19,38.97,37.81,39.35,37.74,7335.0,28205528.0,301502.SZ,38.854,39.288,39.652499999999996,
2025-06-20,37.81,37.7,38.67,37.33,7356.0,27878154.0,301502.SZ,38.716,39.131,39.5825,
2025-06-23,37.21,38.21,38.29,37.17,6381.0,24261794.0,301502.SZ,38.414,39.006,39.480000000000004,
2025-06-24,38.39,39.82,39.9,38.3,11787.0,46351216.0,301502.SZ,38.522000000000006,38.989000000000004,39.4405,
2025-06-25,39.95,39.86,40.15,39.43,9128.0,36235552.0,301502.SZ,38.68,38.980000000000004,39.382,
2025-06-26,39.86,40.28,40.88,39.64,17471.0,70236008.0,301502.SZ,39.174,39.013999999999996,39.367000000000004,
2025-06-27,40.2,40.44,40.68,39.99,9022.0,36358480.0,301502.SZ,39.721999999999994,39.219,39.3575,
2025-06-30,40.45,40.61,40.71,40.0,7393.0,29914348.0,301502.SZ,40.202,39.30800000000001,39.3955,
2025-07-01,40.95,40.19,40.99,39.9,9214.0,37086336.0,301502.SZ,40.275999999999996,39.399,39.43,
2025-07-02,40.49,40.0,40.49,39.62,7833.0,31315380.0,301502.SZ,40.304,39.492000000000004,39.462,
2025-07-03,39.95,40.38,40.45,39.91,6901.0,27759058.0,301502.SZ,40.324,39.749,39.5185,
2025-07-04,40.4,40.81,42.0,39.92,22427.0,91950328.0,301502.SZ,40.398,40.06,39.5955,
2025-07-07,40.93,42.47,43.82,40.75,29819.0,126509008.0,301502.SZ,40.769999999999996,40.486000000000004,39.745999999999995,
2025-07-08,42.98,42.53,43.33,41.77,18465.0,78721096.0,301502.SZ,41.238,40.757,39.873000000000005,
2025-07-09,42.77,43.6,43.98,41.9,26503.0,114361952.0,301502.SZ,41.958,41.131,40.0555,
2025-07-10,43.42,42.7,43.58,41.7,21781.0,92902672.0,301502.SZ,42.422000000000004,41.373000000000005,40.1935,
2025-07-11,42.65,42.92,43.96,42.4,11934.0,51243512.0,301502.SZ,42.844,41.621,40.42,
2025-07-14,43.14,43.42,44.16,42.73,9075.0,39279236.0,301502.SZ,43.034000000000006,41.902,40.605000000000004,
2025-07-15,43.42,42.62,43.42,42.23,8504.0,36254332.0,301502.SZ,43.052,42.144999999999996,40.772000000000006,
2025-07-16,42.83,42.35,43.26,42.12,8940.0,38027392.0,301502.SZ,42.80200000000001,42.38,40.93599999999999,
2025-07-17,42.54,42.44,42.75,42.15,6839.0,29037388.0,301502.SZ,42.75,42.586,41.167500000000004,
2025-07-18,42.49,42.67,42.7,41.77,7382.0,31199820.0,301502.SZ,42.7,42.772000000000006,41.416,
2025-07-21,43.52,44.4,45.38,43.24,27412.0,121652048.0,301502.SZ,42.896,42.964999999999996,41.7255,
2025-07-22,43.48,42.88,43.92,42.45,18567.0,79805424.0,301502.SZ,42.948,43.0,41.8785,
2025-07-23,42.89,42.32,42.99,42.16,9426.0,40039228.0,301502.SZ,42.94199999999999,42.872,42.0015,
2025-07-24,42.17,42.45,42.78,41.85,15077.0,63616152.0,301502.SZ,42.944,42.847,42.11,
2025-07-25,42.44,42.85,42.91,42.0,7277.0,30887848.0,301502.SZ,42.980000000000004,42.839999999999996,42.2305,
2025-07-28,42.81,42.96,43.24,42.6,8678.0,37232912.0,301502.SZ,42.692,42.794000000000004,42.348,
2025-07-29,42.98,42.69,43.23,42.0,7508.0,31921732.0,301502.SZ,42.654,42.801,42.473,
2025-07-30,42.71,43.99,44.39,42.0,18863.0,81823960.0,301502.SZ,42.988,42.964999999999996,42.6725,
