日期,开盘,最高,最低,收盘,成交量,成交额,股票代码
2024-09-18,4.26,4.26,4.01,4.11,32783.0,13442411.0,300126
2024-09-19,4.15,4.31,4.1,4.26,32916.0,13923139.0,300126
2024-09-20,4.27,4.29,4.19,4.23,27987.0,11840551.0,300126
2024-09-23,4.25,4.28,4.17,4.22,24328.0,10292896.0,300126
2024-09-24,4.25,4.36,4.23,4.36,33994.0,14621362.0,300126
2024-09-25,4.39,4.51,4.39,4.42,28107.0,12486911.0,300126
2024-09-26,4.4,4.53,4.4,4.53,33769.0,15116371.0,300126
2024-09-27,4.61,4.76,4.53,4.75,64984.0,30214080.0,300126
2024-09-30,4.9,5.43,4.78,5.36,128416.0,65416296.0,300126
2024-10-08,6.15,6.3,5.5,5.92,161345.0,94861008.0,300126
2024-10-09,5.68,5.7,5.12,5.17,108971.0,59484376.0,300126
2024-10-10,5.23,5.42,5.06,5.24,73877.0,38748884.0,300126
2024-10-11,5.19,5.22,4.94,5.01,63680.0,32286726.0,300126
2024-10-14,5.02,5.17,4.98,5.17,54472.0,27733432.0,300126
2024-10-15,5.15,5.25,5.06,5.08,58377.0,30106456.0,300126
2024-10-16,5.03,5.16,4.96,5.12,44434.0,22651044.0,300126
2024-10-17,5.14,5.25,5.08,5.08,47558.0,24635868.0,300126
2024-10-18,5.06,5.35,5.03,5.21,61666.0,32075168.0,300126
2024-10-21,5.25,5.38,5.2,5.32,55795.0,29542620.0,300126
2024-10-22,5.33,5.47,5.3,5.44,61614.0,33230936.0,300126
2024-10-23,5.45,5.56,5.38,5.44,58169.0,31871908.0,300126
2024-10-24,5.42,5.45,5.35,5.44,39327.0,21237056.0,300126
2024-10-25,5.4,5.6,5.39,5.56,50702.0,28001782.0,300126
2024-10-28,5.56,5.77,5.56,5.74,68643.0,39073544.0,300126
2024-10-29,5.8,5.85,5.57,5.63,66375.0,37559068.0,300126
2024-10-30,5.6,5.7,5.5,5.59,42622.0,23835502.0,300126
2024-10-31,5.59,5.73,5.53,5.62,47442.0,26803030.0,300126
2024-11-01,5.63,5.67,5.3,5.33,74344.0,40112512.0,300126
2024-11-04,5.36,5.52,5.3,5.48,53355.0,29073416.0,300126
2024-11-05,5.47,5.6,5.47,5.58,52339.0,29051016.0,300126
2024-11-06,5.59,5.68,5.53,5.64,59815.0,33684808.0,300126
2024-11-07,5.64,5.94,5.6,5.92,92580.0,53864888.0,300126
2024-11-08,5.99,6.05,5.81,5.85,68329.0,40249968.0,300126
2024-11-11,5.84,6.02,5.84,6.01,60734.0,36127020.0,300126
2024-11-12,5.99,6.09,5.85,5.94,60149.0,35978964.0,300126
2024-11-13,5.92,6.05,5.76,6.05,53253.0,31550642.0,300126
2024-11-14,6.0,6.05,5.76,5.79,55001.0,32297496.0,300126
2024-11-15,5.8,5.93,5.73,5.77,46251.0,26981838.0,300126
2024-11-18,5.73,5.82,5.49,5.55,55322.0,31089676.0,300126
2024-11-19,5.62,6.05,5.53,5.88,87897.0,50908036.0,300126
2024-11-20,5.88,6.06,5.86,6.01,79601.0,47607464.0,300126
2024-11-21,6.01,6.12,5.95,6.09,96391.0,58312576.0,300126
2024-11-22,6.09,6.12,5.83,5.86,96217.0,57249312.0,300126
2024-11-25,5.9,5.96,5.77,5.95,50867.0,29907128.0,300126
2024-11-26,5.93,6.02,5.88,5.9,55991.0,33289860.0,300126
2024-11-27,5.89,5.89,5.6,5.85,69899.0,40106688.0,300126
2024-11-28,5.9,6.03,5.85,5.95,73407.0,43844408.0,300126
2024-11-29,5.97,6.04,5.88,6.03,57416.0,34349008.0,300126
2024-12-02,6.04,6.3,6.04,6.27,93220.0,57928284.0,300126
2024-12-03,6.26,6.37,6.21,6.3,82775.0,52100172.0,300126
2024-12-04,6.3,6.33,6.08,6.15,62674.0,38955528.0,300126
2024-12-05,6.14,6.33,6.13,6.32,55200.0,34537456.0,300126
2024-12-06,6.35,6.4,6.22,6.28,60835.0,38221848.0,300126
2024-12-09,6.26,6.43,6.24,6.33,63705.0,40372916.0,300126
2024-12-10,6.5,6.57,6.32,6.33,60169.0,38693352.0,300126
2024-12-11,6.35,6.43,6.27,6.41,47977.0,30493502.0,300126
2024-12-12,6.39,6.48,6.35,6.48,51559.0,33172196.0,300126
2024-12-13,6.48,6.52,6.32,6.33,49971.0,31926162.0,300126
2024-12-16,6.33,6.41,6.28,6.33,49577.0,31486250.0,300126
2024-12-17,6.3,6.36,5.9,5.94,67689.0,40994856.0,300126
2024-12-18,5.98,6.01,5.72,5.84,47767.0,28111804.0,300126
2024-12-19,5.82,5.97,5.78,5.91,61949.0,36433368.0,300126
2024-12-20,5.92,6.16,5.81,6.09,52011.0,31464024.0,300126
2024-12-23,6.09,6.1,5.38,5.42,86782.0,48890120.0,300126
2024-12-24,5.48,5.6,5.36,5.44,55068.0,30145946.0,300126
2024-12-25,5.4,5.42,5.11,5.2,59419.0,30953276.0,300126
2024-12-26,5.25,5.43,5.19,5.33,49953.0,26695990.0,300126
2024-12-27,5.35,5.52,5.3,5.44,45387.0,24780416.0,300126
2024-12-30,5.38,5.41,5.12,5.27,49276.0,25930276.0,300126
2024-12-31,5.27,5.34,5.12,5.13,51577.0,26835932.0,300126
2025-01-02,5.23,5.37,5.05,5.11,61507.0,31979924.0,300126
2025-01-03,5.18,5.18,4.72,4.77,76811.0,37610956.0,300126
2025-01-06,4.72,4.84,4.45,4.76,49104.0,23052968.0,300126
2025-01-07,4.77,5.01,4.76,4.98,47914.0,23373312.0,300126
2025-01-08,4.92,5.05,4.77,4.96,55689.0,27392608.0,300126
2025-01-09,4.97,5.04,4.91,4.98,30271.0,15088650.0,300126
2025-01-10,4.98,5.04,4.8,4.8,49427.0,24378444.0,300126
2025-01-13,4.78,4.93,4.64,4.86,47744.0,22921996.0,300126
2025-01-14,4.9,5.32,4.9,5.25,101947.0,52295604.0,300126
2025-01-15,5.27,5.31,5.18,5.23,52976.0,27762658.0,300126
2025-01-16,5.32,5.38,5.16,5.2,46285.0,24332816.0,300126
2025-01-17,5.2,5.26,5.11,5.11,28581.0,14723759.0,300126
2025-01-20,5.18,5.34,5.09,5.3,57039.0,29995598.0,300126
2025-01-21,5.3,5.35,5.13,5.19,44943.0,23363802.0,300126
2025-01-22,5.14,5.19,5.02,5.13,45693.0,23378384.0,300126
2025-01-23,5.27,5.61,5.18,5.22,92811.0,49209548.0,300126
2025-01-24,5.21,5.33,5.1,5.32,68790.0,35786912.0,300126
2025-01-27,5.28,5.38,5.24,5.31,55394.0,29556086.0,300126
2025-02-05,5.36,5.55,5.36,5.52,63638.0,34814764.0,300126
2025-02-06,5.53,5.59,5.43,5.54,56367.0,31027788.0,300126
2025-02-07,5.55,5.73,5.52,5.7,76224.0,42894008.0,300126
2025-02-10,5.71,5.82,5.69,5.79,53280.0,30698042.0,300126
2025-02-11,5.79,5.8,5.66,5.74,40851.0,23312208.0,300126
2025-02-12,5.75,5.77,5.64,5.69,37562.0,21372166.0,300126
2025-02-13,5.7,5.72,5.63,5.65,33975.0,19262878.0,300126
2025-02-14,5.63,6.18,5.63,6.06,184816.0,110975840.0,300126
2025-02-17,6.06,6.68,6.02,6.52,260015.0,167139536.0,300126
2025-02-18,6.4,6.85,6.38,6.43,225847.0,149442928.0,300126
2025-02-19,6.48,6.99,6.4,6.85,203485.0,138631296.0,300126
2025-02-20,6.88,7.02,6.73,6.86,157303.0,107783656.0,300126
2025-02-21,6.96,7.15,6.83,6.89,162779.0,113561656.0,300126
2025-02-24,6.89,8.27,6.59,8.27,384761.0,289227456.0,300126
2025-02-25,8.19,8.35,7.6,7.73,418781.0,331299264.0,300126
2025-02-26,7.9,9.16,7.75,8.4,488218.0,409246560.0,300126
2025-02-27,8.5,8.76,8.2,8.38,349720.0,296854496.0,300126
2025-02-28,8.8,8.8,7.63,7.68,269945.0,215905296.0,300126
2025-03-03,7.58,7.82,7.26,7.37,259027.0,193780176.0,300126
2025-03-04,7.3,7.71,7.16,7.5,161462.0,121823184.0,300126
2025-03-05,7.47,8.22,7.35,7.99,245558.0,190691264.0,300126
2025-03-06,8.0,9.07,8.0,8.6,322002.0,275083872.0,300126
2025-03-07,8.57,8.83,8.38,8.57,226495.0,194040912.0,300126
2025-03-10,8.89,9.16,8.3,8.47,192682.0,166971008.0,300126
2025-03-11,8.34,8.66,8.15,8.36,163089.0,135695520.0,300126
2025-03-12,8.35,8.44,8.12,8.13,111783.0,92222808.0,300126
2025-03-13,8.13,8.15,7.45,7.52,162591.0,125030584.0,300126
2025-03-14,7.68,8.0,7.51,7.9,182871.0,141788224.0,300126
2025-03-17,7.9,7.97,7.61,7.8,119929.0,93263912.0,300126
2025-03-18,7.8,7.85,7.55,7.67,99225.0,76099872.0,300126
2025-03-19,7.68,8.09,7.59,7.77,129110.0,100978112.0,300126
2025-03-20,7.9,7.92,7.57,7.68,95353.0,73797544.0,300126
2025-03-21,7.69,7.7,7.26,7.34,130419.0,96456952.0,300126
2025-03-24,7.47,7.49,6.86,7.05,114273.0,81121448.0,300126
2025-03-25,7.06,7.14,6.83,6.91,76853.0,53657608.0,300126
2025-03-26,6.89,7.24,6.86,7.04,74405.0,52924308.0,300126
2025-03-27,7.16,7.16,6.8,6.83,73368.0,50735336.0,300126
2025-03-28,6.78,6.97,6.59,6.63,83419.0,56229432.0,300126
2025-03-31,6.58,6.63,6.4,6.57,89845.0,58459544.0,300126
2025-04-01,6.58,6.8,6.53,6.75,92494.0,61833512.0,300126
2025-04-02,6.74,6.8,6.63,6.65,50710.0,33914896.0,300126
2025-04-03,6.65,6.73,6.43,6.59,60535.0,39757216.0,300126
2025-04-07,6.3,6.3,5.27,5.27,118254.0,65641912.0,300126
2025-04-08,5.4,5.61,5.2,5.43,115774.0,62426080.0,300126
2025-04-09,5.39,5.95,4.8,5.79,186307.0,102448624.0,300126
2025-04-10,6.06,6.37,6.03,6.19,144910.0,89637696.0,300126
2025-04-11,6.17,6.69,6.13,6.23,113575.0,72379568.0,300126
2025-04-14,6.48,6.59,6.23,6.23,119327.0,76052240.0,300126
