日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-10-09,300963,6.75,6.25,6.78,6.24,115154,106080312.0,7.61,-11.97,-0.85,5.74
2024-10-10,300963,6.28,6.31,6.54,6.15,74557,66701181.0,6.24,0.96,0.06,3.72
2024-10-11,300963,6.25,6.07,6.3,6.0,68766,59205385.0,4.75,-3.8,-0.24,3.43
2024-10-14,300963,6.08,6.3,6.3,6.04,53099,46291643.0,4.28,3.79,0.23,2.65
2024-10-15,300963,6.32,6.19,6.39,6.17,53401,47234641.0,3.49,-1.75,-0.11,2.66
2024-10-16,300963,6.13,6.4,6.73,6.07,108318,98517549.0,10.66,3.39,0.21,5.4
2024-10-17,300963,6.33,6.31,6.58,6.27,98589,88847410.0,4.84,-1.41,-0.09,4.92
2024-10-18,300963,6.25,6.48,6.59,6.23,100689,90770316.0,5.71,2.69,0.17,5.02
2024-10-21,300963,6.5,6.57,6.63,6.45,83227,76620036.0,2.78,1.39,0.09,4.15
2024-10-22,300963,6.58,6.78,6.88,6.51,113140,107054032.0,5.63,3.2,0.21,5.64
2024-10-23,300963,6.78,6.69,6.8,6.62,81146,76629100.0,2.65,-1.33,-0.09,4.05
2024-10-24,300963,6.6,6.62,6.73,6.56,44932,41863304.0,2.54,-1.05,-0.07,2.24
2024-10-25,300963,6.59,6.58,6.68,6.55,70264,65450143.0,1.96,-0.6,-0.04,3.5
2024-10-28,300963,6.55,6.65,6.65,6.5,53449,49750431.0,2.28,1.06,0.07,2.67
2024-10-29,300963,6.71,6.4,6.78,6.38,78482,72037229.0,6.02,-3.76,-0.25,3.91
2024-10-30,300963,6.4,6.27,6.45,6.18,69420,61549381.0,4.22,-2.03,-0.13,3.46
2024-10-31,300963,6.28,6.33,6.41,6.21,62279,55412790.0,3.19,0.96,0.06,3.11
2024-11-01,300963,6.31,6.88,7.4,6.27,308614,297494832.0,17.85,8.69,0.55,15.39
2024-11-04,300963,6.95,6.78,6.97,6.55,198631,188168866.0,6.1,-1.45,-0.1,9.91
2024-11-05,300963,6.72,6.93,6.96,6.71,195770,188501847.0,3.69,2.21,0.15,9.76
2024-11-06,300963,6.94,7.32,7.68,6.8,279590,283490619.0,12.7,5.63,0.39,13.94
2024-11-07,300963,7.12,7.27,7.3,7.03,179331,181005860.0,3.69,-0.68,-0.05,8.94
2024-11-08,300963,7.3,6.98,7.32,6.95,150545,151006713.0,5.09,-3.99,-0.29,7.51
2024-11-11,300963,6.95,7.19,7.3,6.9,119142,119055088.0,5.73,3.01,0.21,5.94
2024-11-12,300963,7.18,6.98,7.21,6.85,108136,107027022.0,5.01,-2.92,-0.21,5.39
2024-11-13,300963,6.96,6.91,7.11,6.78,83866,81652548.0,4.73,-1.0,-0.07,4.18
2024-11-14,300963,6.86,6.56,6.92,6.54,83887,79223974.0,5.5,-5.07,-0.35,4.18
2024-11-15,300963,6.54,6.43,6.67,6.43,53602,49456464.0,3.66,-1.98,-0.13,2.67
2024-11-18,300963,6.5,6.41,6.62,6.22,64586,58529496.0,6.22,-0.31,-0.02,3.22
2024-11-19,300963,6.41,6.51,6.51,6.32,49057,44454742.0,2.96,1.56,0.1,2.45
2024-11-20,300963,6.51,6.63,6.65,6.48,57349,53067008.0,2.61,1.84,0.12,2.86
2024-11-21,300963,6.6,6.65,6.78,6.53,56482,52898167.0,3.77,0.3,0.02,2.82
2024-11-22,300963,6.68,6.72,7.08,6.68,143904,139324618.0,6.02,1.05,0.07,7.18
2024-11-25,300963,6.63,6.9,6.92,6.54,93473,89285842.0,5.65,2.68,0.18,4.66
2024-11-26,300963,6.89,6.73,7.0,6.71,88914,85471393.0,4.2,-2.46,-0.17,4.43
2024-11-27,300963,6.68,6.61,6.7,6.32,77260,70280720.0,5.65,-1.78,-0.12,3.85
2024-11-28,300963,6.58,6.62,6.78,6.58,53959,50617549.0,3.03,0.15,0.01,2.69
2024-11-29,300963,6.6,6.73,6.77,6.5,59356,55592189.0,4.08,1.66,0.11,2.96
2024-12-02,300963,6.73,6.82,6.85,6.68,62434,59547186.0,2.53,1.34,0.09,3.11
2024-12-03,300963,6.8,6.84,6.87,6.73,48012,45984362.0,2.05,0.29,0.02,2.39
2024-12-04,300963,6.85,6.8,7.0,6.75,83139,80374461.0,3.65,-0.58,-0.04,4.15
2024-12-05,300963,6.75,6.85,6.86,6.73,53850,51659447.0,1.91,0.74,0.05,2.69
2024-12-06,300963,6.85,6.79,6.88,6.68,58067,55331324.0,2.92,-0.88,-0.06,2.9
2024-12-09,300963,6.73,6.62,6.79,6.53,70257,65871873.0,3.83,-2.5,-0.17,3.5
2024-12-10,300963,6.81,6.88,7.06,6.7,131937,127442430.0,5.44,3.93,0.26,6.58
2024-12-11,300963,6.85,7.02,7.08,6.83,109041,106741516.0,3.63,2.03,0.14,5.44
2024-12-12,300963,6.98,6.98,7.09,6.88,83717,81886988.0,2.99,-0.57,-0.04,4.17
2024-12-13,300963,6.97,6.7,6.97,6.7,69533,66458662.0,3.87,-4.01,-0.28,3.47
2024-12-16,300963,6.72,6.72,6.92,6.68,45583,43272126.0,3.58,0.3,0.02,2.27
2024-12-17,300963,6.68,6.45,6.71,6.43,44828,41338211.0,4.17,-4.02,-0.27,2.24
2024-12-18,300963,6.49,6.45,6.53,6.31,29747,27051270.0,3.41,0.0,0.0,1.48
2024-12-19,300963,6.39,6.57,6.57,6.32,30214,27605250.0,3.88,1.86,0.12,1.51
2024-12-20,300963,6.57,6.6,6.67,6.53,33172,30840195.0,2.13,0.46,0.03,1.65
2024-12-23,300963,6.59,6.23,6.6,6.21,48484,43360800.0,5.91,-5.61,-0.37,2.42
2024-12-24,300963,6.29,6.26,6.35,6.19,23070,20366271.0,2.57,0.48,0.03,1.15
2024-12-25,300963,6.26,6.12,6.26,6.03,31784,27394763.0,3.67,-2.24,-0.14,1.58
2024-12-26,300963,6.12,6.31,6.39,6.11,34550,30563341.0,4.58,3.1,0.19,1.72
2024-12-27,300963,6.3,6.39,6.44,6.3,25904,23352448.0,2.22,1.27,0.08,1.29
2024-12-30,300963,6.39,6.58,6.73,6.26,75905,69948229.0,7.36,2.97,0.19,3.79
2024-12-31,300963,6.57,6.23,6.61,6.22,49256,44191685.0,5.93,-5.32,-0.35,2.46
2025-01-02,300963,6.22,6.15,6.45,6.1,43698,38599244.0,5.62,-1.28,-0.08,2.18
2025-01-03,300963,6.29,5.85,6.33,5.8,42755,36390708.0,8.62,-4.88,-0.3,2.13
2025-01-06,300963,5.79,5.85,5.96,5.58,31818,26006565.0,6.5,0.0,0.0,1.59
2025-01-07,300963,5.89,6.01,6.07,5.83,32042,26866646.0,4.1,2.74,0.16,1.6
2025-01-08,300963,6.01,5.98,6.1,5.77,39038,32724191.0,5.49,-0.5,-0.03,1.95
2025-01-09,300963,5.94,6.02,6.07,5.84,24885,21087424.0,3.85,0.67,0.04,1.24
2025-01-10,300963,6.02,6.06,6.32,5.93,65210,56109847.0,6.48,0.66,0.04,3.25
2025-01-13,300963,5.83,6.0,6.18,5.8,49890,42091973.0,6.27,-0.99,-0.06,2.49
2025-01-14,300963,6.01,6.28,6.28,6.01,47895,41738687.0,4.5,4.67,0.28,2.39
2025-01-15,300963,6.24,6.32,6.52,6.21,56097,50280558.0,4.94,0.64,0.04,2.8
2025-01-16,300963,6.33,6.3,6.43,6.18,43615,38811131.0,3.96,-0.32,-0.02,2.17
2025-01-17,300963,6.25,6.29,6.33,6.2,30357,26860886.0,2.06,-0.16,-0.01,1.51
2025-01-20,300963,6.3,6.37,6.38,6.25,35527,31706335.0,2.07,1.27,0.08,1.77
2025-01-21,300963,6.4,6.3,6.41,6.25,30900,27433385.0,2.51,-1.1,-0.07,1.54
2025-01-22,300963,6.3,6.24,6.35,6.22,24345,21478487.0,2.06,-0.95,-0.06,1.21
2025-01-23,300963,6.37,6.29,6.5,6.29,47637,42645159.0,3.37,0.8,0.05,2.38
2025-01-24,300963,6.3,6.39,6.42,6.28,38295,34058736.0,2.23,1.59,0.1,1.91
2025-01-27,300963,6.41,6.32,6.48,6.32,27233,24395555.0,2.5,-1.1,-0.07,1.36
2025-02-05,300963,6.51,6.39,6.51,6.34,27850,24865130.0,2.69,1.11,0.07,1.39
2025-02-06,300963,6.45,6.53,6.53,6.37,40183,36383086.0,2.5,2.19,0.14,2.0
2025-02-07,300963,6.5,6.57,6.6,6.46,58827,53953493.0,2.14,0.61,0.04,2.93
2025-02-10,300963,6.56,6.59,6.61,6.51,38592,35439597.0,1.52,0.3,0.02,1.92
2025-02-11,300963,6.59,6.56,6.63,6.5,41442,37995813.0,1.97,-0.46,-0.03,2.07
2025-02-12,300963,6.56,6.55,6.59,6.49,34749,31779598.0,1.52,-0.15,-0.01,1.73
2025-02-13,300963,6.56,6.41,6.57,6.4,39254,35505764.0,2.6,-2.14,-0.14,1.96
2025-02-14,300963,6.39,6.38,6.46,6.34,34520,30902011.0,1.87,-0.47,-0.03,1.72
2025-02-17,300963,6.36,6.48,6.54,6.32,41251,37187548.0,3.45,1.57,0.1,2.06
2025-02-18,300963,6.49,6.42,6.61,6.37,63888,58271914.0,3.7,-0.93,-0.06,3.19
2025-02-19,300963,6.49,6.57,6.63,6.48,71957,66177461.0,2.34,2.34,0.15,3.59
2025-02-20,300963,6.54,6.71,6.73,6.5,94926,88317192.0,3.5,2.13,0.14,4.73
2025-02-21,300963,6.67,6.61,6.74,6.56,76910,71118616.0,2.68,-1.49,-0.1,3.84
2025-02-24,300963,6.67,6.68,6.79,6.59,89286,83811113.0,3.03,1.06,0.07,4.45
2025-02-25,300963,6.59,6.68,6.73,6.54,56715,52782549.0,2.84,0.0,0.0,2.83
2025-02-26,300963,6.74,6.76,6.89,6.71,90850,86507776.0,2.69,1.2,0.08,4.53
2025-02-27,300963,6.81,6.79,6.95,6.66,79888,76068585.0,4.29,0.44,0.03,3.98
2025-02-28,300963,6.75,6.54,6.8,6.51,70955,65851638.0,4.27,-3.68,-0.25,3.54
2025-03-03,300963,6.56,6.67,6.78,6.56,67358,63055677.0,3.36,1.99,0.13,3.36
2025-03-04,300963,6.58,6.81,6.84,6.58,74784,70829477.0,3.9,2.1,0.14,3.73
2025-03-05,300963,6.77,6.83,6.84,6.71,51834,49213738.0,1.91,0.29,0.02,2.58
2025-03-06,300963,6.85,6.84,6.87,6.79,67114,64095575.0,1.17,0.15,0.01,3.35
2025-03-07,300963,6.81,6.89,6.95,6.8,80836,77936856.0,2.19,0.73,0.05,4.03
2025-03-10,300963,6.9,6.86,6.95,6.82,59287,57023780.0,1.89,-0.44,-0.03,2.96
