日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-11-11,300005.SZ,9.9,10.59,10.9,9.84,718980,750329856.0,10.66,6.54,0.65,0.0
2025-11-12,300005.SZ,10.59,10.61,10.7,10.3,547833,575579136.0,3.78,0.19,0.02,0.0
2025-11-13,300005.SZ,10.7,11.22,11.49,10.56,1033545,1135082496.0,8.77,5.75,0.61,0.0
2025-11-14,300005.SZ,10.95,10.45,11.16,10.45,780973,836247936.0,6.33,-6.86,-0.77,0.0
2025-11-17,300005.SZ,10.55,10.66,10.71,10.36,432641,455160480.0,3.35,2.01,0.21,0.0
2025-11-18,300005.SZ,10.66,10.46,10.67,10.37,255991,268605504.0,2.81,-1.88,-0.2,0.0
2025-11-19,300005.SZ,10.46,10.55,10.75,10.42,260260,275777216.0,3.15,0.86,0.09,0.0
2025-11-20,300005.SZ,10.55,10.63,10.87,10.49,268976,286309344.0,3.6,0.76,0.08,0.0
2025-11-21,300005.SZ,10.5,10.13,10.62,10.13,355807,367235776.0,4.61,-4.7,-0.5,0.0
2025-11-24,300005.SZ,10.25,10.21,10.4,10.15,250171,257067488.0,2.47,0.79,0.08,0.0
2025-11-25,300005.SZ,10.22,10.55,10.75,10.22,311021,327572256.0,5.19,3.33,0.34,0.0
2025-11-26,300005.SZ,10.5,10.85,10.99,10.45,417383,452021472.0,5.12,2.84,0.3,0.0
2025-11-27,300005.SZ,10.82,11.07,11.25,10.82,428060,475584064.0,3.96,2.03,0.22,0.0
