2025-12-17 16:38:33,488 - INFO - 尝试连接服务器: 121.36.81.195:7709
2025-12-17 16:38:33,703 - INFO - 成功连接服务器: 121.36.81.195:7709
2025-12-17 16:38:33,814 - INFO - 成功获取300615的K线数据，耗时: 0.28秒, 记录数: 241
2025-12-17 16:38:33,894 - INFO - 成功获取300947的K线数据，耗时: 0.06秒, 记录数: 241
2025-12-17 16:38:33,967 - INFO - 成功获取300959的K线数据，耗时: 0.06秒, 记录数: 246
2025-12-17 16:38:34,041 - INFO - 成功获取301568的K线数据，耗时: 0.06秒, 记录数: 241
2025-12-17 16:38:34,115 - INFO - 成功获取300158的K线数据，耗时: 0.06秒, 记录数: 241
2025-12-17 16:38:34,200 - INFO - 成功获取300434的K线数据，耗时: 0.07秒, 记录数: 241
2025-12-17 16:38:34,289 - INFO - 成功获取301157的K线数据，耗时: 0.07秒, 记录数: 241
2025-12-17 16:38:34,367 - INFO - 成功获取300570的K线数据，耗时: 0.06秒, 记录数: 242
2025-12-17 16:38:34,522 - INFO - 成功获取300807的K线数据，耗时: 0.10秒, 记录数: 242
2025-12-17 16:38:34,597 - INFO - 成功获取300943的K线数据，耗时: 0.06秒, 记录数: 252
2025-12-17 16:38:34,678 - INFO - 成功获取301082的K线数据，耗时: 0.07秒, 记录数: 242
2025-12-17 16:38:34,751 - INFO - 成功获取301486的K线数据，耗时: 0.06秒, 记录数: 252
2025-12-17 16:38:34,819 - INFO - 成功获取301600的K线数据，耗时: 0.06秒, 记录数: 92
2025-12-17 16:38:34,923 - INFO - 成功获取301606的K线数据，耗时: 0.06秒, 记录数: 125
2025-12-17 16:38:35,031 - INFO - 成功获取300715的K线数据，耗时: 0.07秒, 记录数: 243
2025-12-17 16:38:35,107 - INFO - 成功获取301001的K线数据，耗时: 0.06秒, 记录数: 243
2025-12-17 16:38:35,189 - INFO - 成功获取301187的K线数据，耗时: 0.07秒, 记录数: 243
2025-12-17 16:38:35,272 - INFO - 成功获取300822的K线数据，耗时: 0.07秒, 记录数: 244
2025-12-17 16:38:35,351 - INFO - 成功获取301000的K线数据，耗时: 0.07秒, 记录数: 244
2025-12-17 16:38:35,436 - INFO - 成功获取301176的K线数据，耗时: 0.08秒, 记录数: 244
2025-12-17 16:38:35,509 - INFO - 成功获取301366的K线数据，耗时: 0.06秒, 记录数: 244
2025-12-17 16:38:35,697 - INFO - 成功获取301377的K线数据，耗时: 0.08秒, 记录数: 244
2025-12-17 16:38:35,773 - INFO - 成功获取301628的K线数据，耗时: 0.06秒, 记录数: 65
2025-12-17 16:38:35,847 - INFO - 成功获取301511的K线数据，耗时: 0.06秒, 记录数: 244
2025-12-17 16:38:35,956 - INFO - 成功获取300307的K线数据，耗时: 0.06秒, 记录数: 246
2025-12-17 16:38:36,040 - INFO - 成功获取300007的K线数据，耗时: 0.07秒, 记录数: 247
2025-12-17 16:38:36,120 - INFO - 成功获取300058的K线数据，耗时: 0.07秒, 记录数: 247
2025-12-17 16:38:36,257 - INFO - 成功获取300071的K线数据，耗时: 0.07秒, 记录数: 247
2025-12-17 16:38:36,367 - INFO - 成功获取300085的K线数据，耗时: 0.06秒, 记录数: 247
2025-12-17 16:38:36,473 - INFO - 成功获取300380的K线数据，耗时: 0.06秒, 记录数: 247
2025-12-17 16:38:36,552 - INFO - 成功获取300521的K线数据，耗时: 0.06秒, 记录数: 247
2025-12-17 16:38:36,782 - INFO - 成功获取300539的K线数据，耗时: 0.22秒, 记录数: 247
2025-12-17 16:38:36,858 - INFO - 成功获取300553的K线数据，耗时: 0.06秒, 记录数: 247
2025-12-17 16:38:36,935 - INFO - 成功获取300792的K线数据，耗时: 0.06秒, 记录数: 247
2025-12-17 16:38:37,018 - INFO - 成功获取300846的K线数据，耗时: 0.07秒, 记录数: 247
2025-12-17 16:38:37,137 - INFO - 成功获取301399的K线数据，耗时: 0.11秒, 记录数: 247
2025-12-17 16:38:37,215 - INFO - 成功获取300242的K线数据，耗时: 0.06秒, 记录数: 248
2025-12-17 16:38:37,296 - INFO - 成功获取300299的K线数据，耗时: 0.07秒, 记录数: 248
2025-12-17 16:38:37,374 - INFO - 成功获取300394的K线数据，耗时: 0.07秒, 记录数: 249
2025-12-17 16:38:37,454 - INFO - 成功获取300894的K线数据，耗时: 0.07秒, 记录数: 249
2025-12-17 16:38:37,540 - INFO - 成功获取301380的K线数据，耗时: 0.07秒, 记录数: 249
2025-12-17 16:38:37,621 - INFO - 成功获取300153的K线数据，耗时: 0.06秒, 记录数: 249
2025-12-17 16:38:37,697 - INFO - 成功获取300515的K线数据，耗时: 0.06秒, 记录数: 249
2025-12-17 16:38:37,772 - INFO - 成功获取300661的K线数据，耗时: 0.06秒, 记录数: 249
2025-12-17 16:38:37,852 - INFO - 成功获取301123的K线数据，耗时: 0.06秒, 记录数: 249
2025-12-17 16:38:37,931 - INFO - 成功获取300718的K线数据，耗时: 0.06秒, 记录数: 251
2025-12-17 16:38:38,000 - INFO - 成功获取301458的K线数据，耗时: 0.06秒, 记录数: 22
2025-12-17 16:38:38,090 - INFO - 成功获取301503的K线数据，耗时: 0.08秒, 记录数: 251
2025-12-17 16:38:38,183 - INFO - 成功获取300422的K线数据，耗时: 0.08秒, 记录数: 252
2025-12-17 16:38:38,262 - INFO - 成功获取300638的K线数据，耗时: 0.06秒, 记录数: 252
2025-12-17 16:38:38,344 - INFO - 成功获取301000的K线数据，耗时: 0.06秒, 记录数: 252
2025-12-17 16:38:38,422 - INFO - 成功获取301199的K线数据，耗时: 0.06秒, 记录数: 252
2025-12-17 16:38:38,500 - INFO - 成功获取300996的K线数据，耗时: 0.06秒, 记录数: 253
2025-12-17 16:38:38,576 - INFO - 成功获取300170的K线数据，耗时: 0.06秒, 记录数: 254
2025-12-17 16:38:38,650 - INFO - 成功获取300250的K线数据，耗时: 0.06秒, 记录数: 254
2025-12-17 16:38:38,726 - INFO - 成功获取300378的K线数据，耗时: 0.06秒, 记录数: 254
2025-12-17 16:38:38,810 - INFO - 成功获取300479的K线数据，耗时: 0.06秒, 记录数: 254
2025-12-17 16:38:38,887 - INFO - 成功获取300608的K线数据，耗时: 0.06秒, 记录数: 254
2025-12-17 16:38:38,978 - INFO - 成功获取300654的K线数据，耗时: 0.06秒, 记录数: 254
2025-12-17 16:38:39,053 - INFO - 成功获取301248的K线数据，耗时: 0.06秒, 记录数: 254
2025-12-17 16:38:39,131 - INFO - 成功获取300766的K线数据，耗时: 0.06秒, 记录数: 256
2025-12-17 16:38:39,211 - INFO - 成功获取300996的K线数据，耗时: 0.06秒, 记录数: 256
2025-12-17 16:38:39,295 - INFO - 成功获取301299的K线数据，耗时: 0.06秒, 记录数: 256
2025-12-17 16:38:39,386 - INFO - 成功获取301512的K线数据，耗时: 0.08秒, 记录数: 256
2025-12-17 16:38:39,461 - INFO - 成功获取300229的K线数据，耗时: 0.06秒, 记录数: 258
2025-12-17 16:38:39,538 - INFO - 成功获取300251的K线数据，耗时: 0.06秒, 记录数: 258
2025-12-17 16:38:39,650 - INFO - 成功获取300253的K线数据，耗时: 0.10秒, 记录数: 258
2025-12-17 16:38:39,733 - INFO - 成功获取300287的K线数据，耗时: 0.07秒, 记录数: 258
2025-12-17 16:38:39,824 - INFO - 成功获取300624的K线数据，耗时: 0.07秒, 记录数: 258
2025-12-17 16:38:39,910 - INFO - 成功获取300846的K线数据，耗时: 0.06秒, 记录数: 258
2025-12-17 16:38:39,985 - INFO - 成功获取301306的K线数据，耗时: 0.06秒, 记录数: 258
2025-12-17 16:38:40,368 - INFO - 成功获取301387的K线数据，耗时: 0.06秒, 记录数: 258
2025-12-17 16:38:40,458 - INFO - 成功获取300382的K线数据，耗时: 0.06秒, 记录数: 258
2025-12-17 16:38:40,536 - INFO - 成功获取300718的K线数据，耗时: 0.06秒, 记录数: 258
2025-12-17 16:38:40,621 - INFO - 成功获取300790的K线数据，耗时: 0.06秒, 记录数: 258
2025-12-17 16:38:40,708 - INFO - 成功获取301261的K线数据，耗时: 0.06秒, 记录数: 258
2025-12-17 16:38:40,842 - INFO - 成功获取301488的K线数据，耗时: 0.10秒, 记录数: 258
2025-12-17 16:38:41,182 - INFO - 成功获取300057的K线数据，耗时: 0.06秒, 记录数: 257
2025-12-17 16:38:41,311 - INFO - 成功获取300846的K线数据，耗时: 0.06秒, 记录数: 257
2025-12-17 16:38:41,384 - INFO - 成功获取301030的K线数据，耗时: 0.06秒, 记录数: 257
2025-12-17 16:38:41,472 - INFO - 成功获取301208的K线数据，耗时: 0.06秒, 记录数: 257
2025-12-17 16:38:41,561 - INFO - 成功获取300078的K线数据，耗时: 0.07秒, 记录数: 257
2025-12-17 16:38:41,880 - INFO - 成功获取300244的K线数据，耗时: 0.06秒, 记录数: 257
2025-12-17 16:38:41,970 - INFO - 成功获取300251的K线数据，耗时: 0.08秒, 记录数: 257
2025-12-17 16:38:42,251 - INFO - 成功获取300271的K线数据，耗时: 0.07秒, 记录数: 257
2025-12-17 16:38:42,357 - INFO - 成功获取300451的K线数据，耗时: 0.07秒, 记录数: 257
2025-12-17 16:38:42,437 - INFO - 成功获取300603的K线数据，耗时: 0.06秒, 记录数: 257
2025-12-17 16:38:42,685 - INFO - 成功获取300766的K线数据，耗时: 0.08秒, 记录数: 257
2025-12-17 16:38:42,850 - INFO - 成功获取300937的K线数据，耗时: 0.09秒, 记录数: 257
2025-12-17 16:38:43,350 - INFO - 成功获取301220的K线数据，耗时: 0.07秒, 记录数: 257
